grid,id,group,index,topology,oc,pump_mW,GDD_ps2,rounds,status,energy_pJ,energy_mean_pJ,energy_min_pJ,energy_max_pJ,energy_cv,peaks,single_tail,residual,edge_max,spectral_edge_max,FWHM_ps,CNT_energy_pJ,CNT_peak_W,inversion_gap,inversion_drift,numerical_pass,energy_range_pass,screen_candidate
coarse,g00_c00,0,0,OC_CNT,0.2,5.0,-0.1,20,spectral_boundary,522.1711978154204,427.4842677390485,299.9955684131474,533.6379501678704,0.18443367393577825,6,False,0.718145066673958,1.9813058386287955e-08,0.0752918792778345,1.0,2088.6847912616818,496.47559533632955,0.1133929978469046,0.0006545656133604139,False,False,False
coarse,g00_c01,0,1,OC_CNT,0.2,10.0,-0.1,20,spectral_boundary,527.4652185152913,429.4582702904402,299.9955684131474,538.4057043366795,0.18764696597451902,7,False,0.6370530796448661,1.0113403369446022e-08,0.06389418936653156,1.0,2109.8608740611658,353.69496320761885,0.1125789532036292,0.0005015853970845585,False,False,False
coarse,g00_c02,0,2,OC_CNT,0.2,15.0,-0.1,20,spectral_boundary,534.0007771740874,431.51024298373284,299.9955684131474,543.2045408156525,0.19102486276336886,5,False,0.7166389142673374,3.03904742378455e-09,0.06539182818117281,1.0,2136.0031086963495,337.8182869292853,0.13422318777047615,0.00034883637167681947,False,False,False
coarse,g00_c03,0,3,OC_CNT,0.2,20.0,-0.1,20,spectral_boundary,538.9444057401092,433.5013980514348,299.9955684131474,548.0342578753728,0.19423116640692475,4,False,0.8546437712751375,2.701310672145158e-09,0.06531391499047925,1.0,2155.777622960437,337.3650121437466,0.17384069699888904,0.00019588704980633143,False,False,False
coarse,g00_c04,0,4,OC_CNT,0.2,30.0,-0.1,20,spectral_boundary,552.1639177799582,437.71343378021385,299.9955684131474,557.7854374701324,0.20113477813280375,6,False,0.7947817298690466,2.8197054151395673e-08,0.051669031738836406,1.0,2208.6556711198327,446.0053545341101,0.2287569716556438,0.00010934284662644789,False,False,False
coarse,g00_c05,0,5,OC_CNT,0.2,50.0,-0.1,20,spectral_boundary,586.9095492428158,446.7644931219641,299.9955684131474,586.9095492428158,0.21627983260941455,5,False,0.7585797097059037,1.1722014356858983e-08,0.029302857568076594,1.0,2347.638196971264,434.96560676191524,0.28430547930802563,0.0007181123646150533,False,False,False
coarse,g00_c06,0,6,OC_CNT,0.2,100.0,-0.1,20,spectral_boundary,640.1932135543884,467.54699679757715,299.9955684131474,640.1932135543884,0.24692873248489702,6,False,0.6425062369887814,8.264992596704179e-08,0.06288916863836709,1.0,2560.7728542175537,396.5561865340497,0.3414728903997708,0.0022450129005923136,False,False,False
coarse,g00_c07,0,7,OC_CNT,0.2,150.0,-0.1,20,spectral_boundary,718.7893890373638,491.2696428920673,299.9955684131474,718.7893890373638,0.2816983286066408,7,False,0.9300548669278959,4.132352337408576e-08,0.07122521386682208,1.0,2875.1575561494556,502.64892117076215,0.3583230545619742,0.003764345315775297,False,False,False
coarse,g00_c08,0,8,OC_CNT,0.3,5.0,-0.1,40,spectral_boundary,419.50448380324144,458.1031531915338,299.9948788636343,571.197778803448,0.17252418955782303,11,False,0.911064657641075,6.660155361034336e-07,0.10804022407546846,1.0,978.843795540897,163.6228582587057,0.13593512304203315,0.0010232109456289606,False,False,False
coarse,g00_c09,0,9,OC_CNT,0.3,10.0,-0.1,40,spectral_boundary,440.49387235169263,471.2655825883588,299.9948788636343,579.5517364019433,0.17959573663655198,9,False,0.8806930328997231,1.9329581450847766e-06,0.11373786118763379,1.5,1027.819035487283,198.03511663513328,0.15118112685095697,0.0007350607114674501,False,False,False
